step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
10000,28985,27616.51,29168.80,30862.77,29817.97,28444.08,27861.40,28898.05,28043.54,29352.14,28509.63,29533.51,29067.36,29434.36,27573.92,28235.52,29559.15,28401.46,27853.94,28747.87,29137.72,30884.68,30439.47,29174.15,29868.47,28796.55,28580.61,27072.92,29476.43,29077.08,29878.57
20000,57601,56578.50,59940.16,59212.82,58238.22,55539.31,54845.05,56207.21,56044.35,59267.82,58426.27,55847.63,58555.21,59349.41,56679.34,54798.94,59641.69,57834.10,58049.87,59275.13,58282.57,60117.95,58149.38,56519.54,60087.28,54466.49,58019.20,57325.36,61253.65,58320.23,58847.73
30000,86026,87507.85,88632.53,92487.00,88754.39,85127.66,82334.02,82978.07,82741.54,86866.23,84896.94,85386.59,89556.48,90419.70,86951.22,83743.53,91489.95,81120.97,86371.33,86934.94,85487.30,88048.59,83334.55,85880.22,86813.57,80821.79,82966.06,81988.69,89703.37,87509.48,87967.49
40000,114414,113849.33,117742.75,121238.76,117121.96,115283.83,109043.75,112452.44,115106.35,117317.74,116915.59,116919.76,114129.90,118168.74,116515.28,111439.93,119930.69,113222.85,112529.68,113788.18,110968.59,117395.34,113336.36,116185.37,114317.13,107229.40,108965.04,110119.64,115199.81,117482.80,117823.58
50000,142684,140181.07,143765.21,148945.17,139346.72,142813.69,134419.99,146521.23,145355.44,149506.66,142343.40,144125.77,143428.58,144426.51,148056.09,137952.87,150022.83,143016.12,139918.90,139937.34,137832.77,148746.28,148671.36,148473.54,145351.21,140296.37,136776.80,137771.41,145663.74,148444.83,147990.07
60000,170857,173216.53,171143.91,178656.50,167318.33,165478.79,160209.22,176912.52,175768.38,175032.73,167780.26,174269.24,164109.92,169197.07,174803.29,166429.62,178587.55,163507.11,171330.52,171612.95,165391.22,182535.29,177728.90,179075.02,170192.17,166624.24,167856.90,168488.91,176934.10,171084.48,174652.42
70000,199062,196059.92,199296.57,207041.36,199481.84,191171.12,182933.08,205775.57,203324.40,203176.73,193007.60,195358.25,191656.63,203859.94,199335.84,195919.53,207532.95,194538.80,202451.61,204562.34,193229.09,207876.13,202193.16,212934.42,196487.24,196830.35,193985.11,194437.20,213711.18,200780.41,203656.40
80000,227172,221925.96,228796.05,237069.02,225928.57,216672.23,214247.80,234661.19,236875.65,226700.23,216686.93,231691.85,217666.26,231615.04,230433.07,229177.81,231381.53,214656.24,226113.12,224523.78,219106.16,235770.73,224982.60,236531.38,220862.56,224942.23,218764.14,219222.75,236994.06,225075.54,231557.36
90000,255260,255727.51,253658.00,264888.36,253462.26,238415.12,237287.43,268053.17,264758.06,253935.74,246312.03,263980.14,252310.37,259617.80,260473.51,258195.84,261567.15,243301.12,256680.87,248502.52,243536.34,267889.84,255067.24,265296.39,243998.86,254453.15,234699.71,245660.69,269734.53,252386.89,261682.57
100000,283309,286051.60,276681.42,284422.09,276906.94,264868.17,262471.51,299352.71,293432.88,279650.03,278898.68,289769.85,280443.75,289171.21,282595.00,299181.33,288039.74,272443.92,284727.73,279505.59,272535.49,296018.85,290957.71,293372.90,272210.22,278929.61,265989.01,278435.25,296717.87,283423.91,292977.99
110000,311398,315156.94,302736.84,313745.66,303276.86,293662.16,296191.72,328717.33,319633.24,301258.26,323744.50,312013.54,303026.56,323863.88,307429.22,319831.95,321568.41,308021.24,317322.39,309886.79,295078.48,326387.21,316718.80,326135.42,303891.47,314360.54,293801.12,313415.51,332362.82,305729.02,325771.72
120000,339414,339044.30,326965.63,335906.82,335170.65,319715.21,325301.40,348214.17,351999.09,336839.56,351846.51,336198.47,333004.75,355108.24,350944.86,354575.74,347328.12,336800.18,346515.33,338798.75,315740.43,352391.45,348946.06,349851.51,332399.07,335247.70,326778.97,339904.64,360550.14,336822.52,357805.83
130000,367356,372066.88,357695.01,367886.89,358325.28,345743.15,355970.17,377305.98,380395.90,359187.48,382328.58,366234.87,372829.68,374919.40,385071.27,382202.33,363621.52,364225.51,375596.93,368379.89,342611.84,377083.65,384828.25,381008.76,364031.21,357609.60,363814.06,369180.82,386673.30,368955.21,389654.38
140000,395299,392692.77,383068.04,390693.95,390279.62,372155.32,385160.57,404530.86,408884.39,383914.71,415344.88,400133.61,403171.74,403919.13,403339.43,416152.45,402659.66,385578.97,409966.39,394394.22,369674.41,411519.29,404675.45,403967.74,385191.10,383073.05,385962.17,389320.00,417070.73,389552.74,418851.27
150000,423308,426588.76,414635.79,423624.89,415571.73,396979.64,411316.32,432902.61,437153.58,414570.05,442207.45,436778.09,426039.22,424611.64,424282.59,440458.83,428969.14,411591.55,446683.79,413714.04,398106.63,452379.89,438302.80,432373.86,419139.57,405610.11,418633.04,408365.86,438275.46,417058.54,444949.82
160000,451276,444302.90,444918.33,450265.95,449686.11,422766.66,432854.36,453168.08,469054.80,437678.38,474675.52,470387.69,454304.70,449328.73,454629.31,472358.90,451754.86,440014.70,476054.25,448127.32,427078.93,477974.05,466458.72,462074.79,452593.10,441700.30,444200.89,437358.65,465388.77,442039.54,471471.59
