step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
10000,28955,29157.48,28843.91,28811.72,29231.39,29156.32,29255.09,28532.48,29118.20,29029.92,28464.61,29112.60,29414.25,29021.61,28890.44,28599.75,28713.97,29739.94,29809.28,28620.54,28706.45,28934.38,28859.09,28990.85,29092.51,29121.02,28847.70,28989.94,29335.35,28867.84,28572.53
20000,57613,57657.16,58022.18,57114.73,57982.98,58065.94,58782.72,57988.39,58144.27,58330.73,57127.88,57072.48,58363.88,58140.99,56957.75,57611.26,56790.71,58610.77,59104.10,55894.01,57527.24,58620.88,57834.97,56883.03,57893.43,58197.07,57155.67,57918.03,57068.48,57463.42,57265.81
30000,86167,85936.51,86060.93,84719.09,85855.50,86673.70,88037.87,86406.89,86437.93,86217.56,84695.39,84779.07,87478.38,86831.97,85706.96,87265.71,85388.81,86823.91,86651.70,85252.93,86103.98,86886.90,86640.12,84799.91,86711.30,86763.00,85854.64,87442.18,85760.59,86371.79,85688.32
40000,114528,113941.34,112806.67,111655.47,115291.45,116117.50,114915.65,114686.45,114918.87,113138.34,112048.30,112746.34,117351.42,114759.37,114400.58,114392.56,113360.34,115480.32,114690.95,115750.17,114513.95,116238.43,114916.80,111856.36,114451.26,113850.72,114546.61,115326.22,114680.29,116225.58,113990.15
50000,142791,141894.47,141825.77,139561.32,144570.07,144891.34,142314.48,144622.28,145231.61,142715.92,141397.63,139754.35,147646.50,142749.54,142043.08,144134.92,141584.53,143179.63,142934.55,142505.41,141480.28,144753.33,142682.72,140062.82,143350.43,141371.61,143671.52,143084.79,144134.25,145186.09,142297.99
60000,170937,171111.75,171398.06,166296.74,171729.69,173205.20,169637.67,171597.95,171747.81,169677.08,170263.95,166630.99,174743.15,170742.43,168484.08,172343.05,169347.24,171745.11,171448.24,172018.48,167696.63,169695.85,170853.00,167116.35,172089.23,167630.62,171870.33,173146.65,173315.83,173235.21,171151.48
70000,199012,199414.21,200082.55,195661.20,199401.68,202748.06,196413.49,199937.10,199129.50,197364.87,200855.90,192945.96,204809.50,199917.44,197275.80,200659.14,196223.10,200747.44,197552.72,199991.04,196002.30,198659.82,200143.48,197455.61,198514.85,197576.75,199905.72,201549.64,200070.83,201405.42,198331.93
80000,227081,227931.25,229014.73,222502.32,228655.19,228966.40,224077.40,228745.98,227828.91,225070.23,229710.67,220380.26,231435.26,228230.80,224528.40,228679.89,225315.37,229433.24,225893.00,226184.20,225708.70,227268.84,226643.18,225784.05,228516.29,224470.18,228725.79,230924.24,227773.01,227271.36,227148.11
90000,255188,253707.24,256291.09,250486.73,255649.43,261490.42,252808.46,257061.30,255613.47,255067.30,256204.63,250082.63,259715.20,258397.71,251306.72,255985.80,255346.69,257275.57,253228.18,255478.68,253256.38,255948.17,257364.13,254786.58,256054.29,253099.04,256266.20,258438.57,257448.50,254698.24,253965.63
100000,283195,281429.87,284614.47,278416.27,281870.03,288631.83,280509.77,285821.60,284410.83,282725.31,282993.16,279188.11,285765.06,286079.20,278124.49,284297.65,283345.96,284660.32,281929.80,282376.25,281066.55,284663.17,283599.74,282175.46,284580.11,281002.31,280582.54,288219.41,286326.47,285758.26,285617.85
110000,311242,310595.59,313848.92,306860.59,309516.41,319185.15,310207.38,314030.31,312059.44,309589.50,310676.65,308861.66,313201.89,316327.78,306914.15,311798.20,310670.64,315489.09,306447.75,310702.19,311390.13,313712.53,309587.80,313360.47,314612.67,311513.93,304519.99,317066.74,316158.50,310884.70,314474.93
120000,339322,339688.22,343240.84,337382.74,337525.21,349395.36,339690.05,342843.89,339148.83,340601.49,339686.03,337420.93,340340.08,345037.48,334247.63,340752.42,340130.96,343800.29,335506.26,338912.72,339704.04,342769.96,334693.21,340396.87,342960.30,340197.67,333681.22,347894.70,344776.95,338206.05,339860.75
130000,367314,368689.40,372777.34,366398.66,365697.78,378673.61,365672.44,371632.48,366737.97,369826.11,368348.02,368409.24,367694.66,372215.21,362261.18,370553.68,365713.94,374820.89,362108.82,372521.78,366507.82,368954.23,361314.08,369300.62,370386.18,371515.12,360749.51,374841.15,371949.47,368025.49,366765.78
140000,395251,396299.69,398438.26,396325.57,390592.65,407138.25,393637.31,396964.03,396098.57,396061.74,398027.04,397079.86,395213.63,398652.65,390790.28,397383.40,391949.89,402744.20,389811.07,402489.70,395017.92,399589.32,388717.12,398166.95,398227.10,398264.45,389030.06,399907.54,399485.68,397168.89,397866.19
150000,423319,425304.70,425569.26,419207.74,417149.69,434531.87,420572.41,424005.86,424324.63,424515.80,428007.70,428560.12,425270.60,424803.66,418416.74,424618.08,422791.31,430681.48,413855.26,432365.79,424190.70,431418.39,416508.70,427326.78,424671.83,422187.89,417892.52,428064.87,428191.73,427085.51,426341.98
